file,width,height,offset,chosen,CRVAL1,CRVAL2
jw03707-c1100_t050_miri_f770w_i2d.fits,4844.0,2415.0,381.8753126,False,204.41760904448438,8.907662192673651
jw03707-o109_t050_miri_f770w_i2d.fits,1784.0,2089.0,381.8753126,True,204.38501451809734,8.881331445540006
jw03707-c1100_t050_miri_f2100w_i2d.fits,4844.0,2415.0,57.573427,True,204.41760214167206,8.907666480818214
jw03707-o109_t050_miri_f2100w_i2d.fits,1784.0,2089.0,57.573427,False,204.38500767396758,8.881335757976485
jw03707-o110_t050_miri_f770w_i2d.fits,1086.0,1076.0,3.0999999,False,204.463397365528,8.951101450945545
jw03707-o110_t050_nircam_clear-f150w_i2d.fits,4540.0,4518.0,3.0999999,True,204.38492566756233,8.885875475388035
jw03707-o110_t050_nircam_clear-f300m_i2d.fits,2174.0,2166.0,57.573427,True,204.38511188093247,8.886053130460994
jw03707-o110_t050_nircam_clear-f187n_i2d.fits,4539.0,4518.0,44.218058,True,204.38492559812207,8.885873111638809
jw03707-o110_t050_miri_f2100w_i2d.fits,1086.0,1076.0,3.0999999,False,204.46339045339437,8.951105701213251
jw03707-o110_t050_nircam_clear-f335m_i2d.fits,2174.0,2166.0,3.0999999,True,204.3851067687947,8.886053133404868
