file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw03768-o011_t003_nircam_clear-f115w_i2d.fits,11528,8526,64.5889612,True,159.623188621184,-58.3182074343427,,
jw03768-o011_t003_niriss_clear-f150w_i2d.fits,2789,4034,64.5889612,False,159.451056280949,-58.2791636742932,,
jw03768-o011_t003_nircam_f150w2-f162m_i2d.fits,11525,8525,64.5889612,False,159.623191285569,-58.3182062675713,,
jw03768-o011_t003_nircam_clear-f182m_i2d.fits,11527,8526,64.5889612,True,159.623198900099,-58.3182081945557,159.623193,-58.3182
jw03768-o011_t003_nircam_clear-f200w_i2d.fits,11530,8532,64.5889612,True,159.623179972496,-58.3182203639215,159.623175,-58.318219
jw03768-o011_t003_nircam_clear-f356w_i2d.fits,5670,4160,311.2208127,True,159.62317283315,-58.318004578749,,
jw03768-o011_t003_nircam_clear-f410m_i2d.fits,5669,4160,311.2208127,True,159.623166594196,-58.3179997647712,,
jw03768-o011_t003_nircam_f405n-f444w_i2d.fits,5667,4158,311.2208127,False,159.623162139022,-58.3180029974541,,
jw03768-o011_t003_nircam_f444w-f470n_i2d.fits,5663,4160,64.5889612,False,159.623144004776,-58.3180148567095,,
jw03768-o011_t003_niriss_clear-f115w_i2d.fits,2789,4034,64.5889612,False,159.451053665047,-58.2791638636266,,
jw03768-o011_t003_niriss_clear-f200w_i2d.fits,2789,4034,64.5889612,False,159.450986750168,-58.2791405002547,,
jw03768-o011_t003_niriss_clearp-f356w_i2d.fits,2789,4034,311.2208127,False,159.451045697331,-58.2791599392797,,
