file,width,height,offset,chosen
jw01234-o009_t005_nircam_clear-f200w_i2d.fits,9947.0,4440.0,6.3268116826127e-11,False
jw01234-o009_t005_nircam_clear-f140m_i2d.fits,9964.0,4449.0,6.3268116826127e-11,True
jw01234-o009_t005_nircam_clear-f356w_i2d.fits,4885.0,2125.0,6.3268116826127e-11,True
jw01234-o009_t005_nircam_clear-f150w_i2d.fits,9923.0,4423.0,6.3268116826127e-11,True
jw01234-o009_t005_miri_f1000w_i2d.fits,1042.0,1034.0,6.3268116826127e-11,True
jw01234-o009_t005_miri_f770w_i2d.fits,1039.0,1031.0,6.3268116826127e-11,True
jw01234-o009_t005_nircam_clear-f444w_i2d.fits,4899.0,2136.0,6.3268116826127e-11,True
jw01234-o009_t005_miri_f2100w_i2d.fits,1055.0,1043.0,6.3268116826127e-11,True
jw01234-o009_t005_nircam_clear-f277w_i2d.fits,4889.0,2131.0,451.0121655244064,False
jw01234-o009_t005_nircam_clear-f115w_i2d.fits,9912.0,4412.0,451.0121655244064,False
jw01234-o009_t005_miri_f1500w_i2d.fits,1048.0,1037.0,451.0121655244064,False
jw01234-o009_t005_nircam_clear-f335m_i2d.fits,4908.0,2145.0,451.0121655244064,True
jw01234-c1003_t005_nircam_clear-f356w_i2d.fits,4885.0,2125.0,451.0121655244064,False
jw01234-c1003_t005_miri_f2100w_i2d.fits,1055.0,1043.0,451.0121655244064,False
jw01234-c1003_t005_nircam_clear-f200w_i2d.fits,9947.0,4440.0,451.0121655244064,True
jw01234-c1003_t005_miri_f770w_i2d.fits,1039.0,1031.0,451.0121655244064,False
jw01234-c1003_t005_nircam_clear-f140m_i2d.fits,9964.0,4449.0,451.0121655244064,False
jw01234-c1003_t005_miri_f1000w_i2d.fits,1042.0,1034.0,451.0121655244064,False
jw01234-c1003_t005_nircam_clear-f444w_i2d.fits,4899.0,2136.0,451.0121655244064,False
jw01234-c1003_t005_miri_f1500w_i2d.fits,1048.0,1037.0,451.0121655244064,True
jw01234-c1003_t005_nircam_clear-f150w_i2d.fits,9923.0,4423.0,451.0121655244064,False
jw01234-c1003_t005_nircam_clear-f277w_i2d.fits,4889.0,2131.0,451.0121655244064,True
jw01234-c1003_t005_nircam_clear-f335m_i2d.fits,4908.0,2145.0,451.0121655244064,False
jw01234-c1003_t005_nircam_clear-f115w_i2d.fits,9912.0,4412.0,451.0121655244064,True
