file,width,height,offset,chosen,CRVAL1,CRVAL2
jw02107-c1018_t019_miri_f1000w_i2d.fits,4824.0,1925.0,381.6678187919671,False,347.4240671985592,-43.4683608538082
jw02107-c1018_t019_miri_f2100w_i2d.fits,4824.0,1924.0,381.6678187919671,False,347.4240522896496,-43.46836345084017
jw02107-c1018_t019_miri_f1130w_i2d.fits,4824.0,1926.0,381.3640328834749,False,347.4240279137823,-43.46836554232137
jw02107-c1018_t019_miri_f770w_i2d.fits,4824.0,1927.0,375.6721600533847,False,347.4239785080314,-43.46838448026709
jw02107-o038_t019_miri_f1130w_i2d.fits,1779.0,1175.0,22.70770771212725,True,347.4469874310883,-43.42298087523774
jw02107-o038_t019_miri_f2100w_i2d.fits,1779.0,1174.0,25.15506218621896,True,347.447011604163,-43.42297863667152
jw02107-o038_t019_miri_f1000w_i2d.fits,1779.0,1174.0,25.15506218621896,True,347.4470266517807,-43.42297626721302
jw02107-o038_t019_miri_f770w_i2d.fits,1779.0,1175.0,22.70770771212725,True,347.4469378854205,-43.42299984885121
jw02107-o041_t019_miri_f1130w_i2d.fits,1086.0,1076.0,3.100009072660562,False,347.3966085600912,-43.52407858141298
jw02107-o041_t019_nircam_clear-f200w_i2d.fits,4523.0,4510.0,3.100008862990473,True,347.445289002301,-43.4291949574158
jw02107-o041_t019_nircam_clear-f300m_i2d.fits,2174.0,2167.0,3.099999946715712,True,347.4452181201536,-43.4294341252733
jw02107-o041_t019_miri_f2100w_i2d.fits,1086.0,1076.0,381.6678187919671,False,347.3965963154781,-43.52407241360638
jw02107-o041_t019_miri_f770w_i2d.fits,1086.0,1076.0,25.15506218621896,False,347.3965847421301,-43.52407189760654
jw02107-o041_t019_nircam_clear-f335m_i2d.fits,2174.0,2166.0,25.15506218621896,True,347.4452234321996,-43.42943081160573
jw02107-o041_t019_nircam_clear-f360m_i2d.fits,2174.0,2167.0,22.70770771212725,True,347.4452306700312,-43.42943386156859
jw02107-o041_t019_miri_f1000w_i2d.fits,1086.0,1076.0,3.100009072660562,False,347.3966112292544,-43.52406983855468
