file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw02391-o006_t001_nircam_clear-f335m_i2d.fits,5145,2386,10.3723037751789,True,16.248583972627,2.17494788161371,16.248585,2.174946
jw02391-o006_t001_nircam_clear-f150w_i2d.fits,10442,4931,10.3723037751789,False,16.2485734839628,2.17516364741888,16.248572,2.175161
jw02391-o006_t001_nircam_clear-f200w_i2d.fits,10446,4937,10.3723037751789,False,16.2485816420561,2.17517468402312,,
jw02391-o006_t001_nircam_clear-f115w_i2d.fits,10442,4931,10.3723037751789,True,16.2485738551308,2.17516372577734,,
jw02391-o006_t001_nircam_clear-f300m_i2d.fits,5145,2386,10.3723037751789,True,16.2485797582792,2.17494651055506,16.248577,2.17494
jw02391-o006_t001_nircam_clear-f360m_i2d.fits,5145,2385,73.1801984859351,True,16.2485848077603,2.17494756131722,16.2485835,2.1749415
jw02391-o002_t001_miri_f770w_i2d.fits,1178,1171,73.1801984859351,True,16.2540837370393,2.15807874675565,16.25404,2.15804
jw02391-o002_t001_miri_f1000w_i2d.fits,1178,1171,73.1801984859351,True,16.2541006164547,2.15808743421045,16.254065,2.158045
jw02391-o002_t001_miri_f1500w_i2d.fits,1178,1171,73.1801984859351,True,16.2541023328334,2.15809499930689,16.25406,2.158045
jw02391-o002_t001_miri_f560w_i2d.fits,1178,1171,73.1801984859351,True,16.2540838237079,2.15808303416248,16.25405,2.158042
jw02391-o002_t001_miri_f1130w_i2d.fits,1178,1171,73.1801984859351,True,16.2541020815405,2.15807880074613,16.254065,2.15803
