file,width,height,offset,chosen,CRVAL1,CRVAL2
jw02739-o008_t005_miri_f1280w_i2d.fits,1113.0,1148.0,7.201933329385847,True,233.7383274856197,23.49772616459361
jw02739-o008_t005_miri_f1500w_i2d.fits,1114.0,1148.0,4.200876365913497,True,233.7383437586662,23.49773148030956
jw02739-o008_t005_miri_f770w_i2d.fits,1114.0,1147.0,5.258712413515131,True,233.7383885567538,23.49770475123734
jw02739-o008_t005_miri_f1130w_i2d.fits,1114.0,1147.0,4.200876365913497,True,233.7383787470897,23.49772110253991
jw02739-o007_t005_nircam_clear-f277w_i2d.fits,2177.0,2259.0,8.89999993412693,True,233.7427079289019,23.50147675942286
jw02739-o007_t005_nircam_clear-f200w_i2d.fits,4465.0,4621.0,3.099999946715712,True,233.7424910762691,23.50132609910721
jw02739-o007_t005_nircam_clear-f090w_i2d.fits,4483.0,4659.0,3.100000044677807,True,233.7424722935711,23.50132523633108
jw02739-o007_t005_nircam_clear-f150w_i2d.fits,4465.0,4622.0,8.89999993412693,True,233.7424698672167,23.50132738087912
jw02739-o007_t005_nircam_clear-f444w_i2d.fits,2177.0,2259.0,8.89999993412693,True,233.7427020500029,23.50147767373478
jw02739-o007_t005_nircam_clear-f356w_i2d.fits,2177.0,2258.0,3.099999946715712,True,233.7427066275238,23.5014746261571
