file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1,CRVAL2
jw03707-o089_t040_miri_f770w_i2d.fits,1183,2089,381.8753126,True,190.982613128854,13.1221655905041,190.982655,13.1221655905041
jw03707-o089_t040_miri_f2100w_i2d.fits,1183,2089,381.8753126,False,190.982606284868,13.1221677715386,190.98263,13.12216
jw03707-o090_t040_nircam_clear-f187n_i2d.fits,4539,4518,57.3864443,False,190.987240017938,13.1277308651486,190.987239,13.127735
jw03707-o090_t040_nircam_clear-f335m_i2d.fits,2174,2167,57.3864443,True,190.987383801811,13.1279327028128,,
jw03707-o090_t040_nircam_clear-f150w_i2d.fits,4539,4518,3.0999999,True,190.987239465086,13.1277314757448,,
jw03707-o090_t040_miri_f2100w_i2d.fits,1086,1076,3.0999999,False,191.053370545338,13.2058708366645,,
jw03707-o090_t040_miri_f770w_i2d.fits,1086,1076,57.3864443,False,191.053378650412,13.2058678321633,,
jw03707-o090_t040_nircam_clear-f300m_i2d.fits,2173,2167,57.3864443,True,190.987390783436,13.1279280766203,190.98739,13.127935
jw03707-c1090_t040_miri_f2100w_i2d.fits,4543,2417,3.0999999,False,191.01062698024,13.1603597926292,,
jw03707-c1090_t040_miri_f770w_i2d.fits,4543,2417,3.0999999,False,191.010635008822,13.1603576225302,,
