file,width,height,offset,chosen
jw03707-o004_t003_nircam_clear-f150w_i2d.fits,4539.0,4517.0,381.92657460395884,True
jw03707-o003_t003_miri_f2100w_i2d.fits,2980.0,1181.0,381.92657460395884,True
jw03707-o004_t003_miri_f2100w_i2d.fits,1086.0,1076.0,92.34849566740944,False
jw03707-c1056_t003_miri_f2100w_i2d.fits,5442.0,1963.0,92.34849566740944,False
jw03707-o004_t003_nircam_clear-f300m_i2d.fits,2174.0,2167.0,3.0999999424489957,True
jw03707-c1056_t003_miri_f770w_i2d.fits,5442.0,1963.0,3.0999999424489957,False
jw03707-o004_t003_miri_f770w_i2d.fits,1086.0,1076.0,92.34849566740944,False
jw03707-o003_t003_miri_f770w_i2d.fits,2980.0,1181.0,92.34849566740944,True
jw03707-o004_t003_nircam_clear-f335m_i2d.fits,2174.0,2167.0,3.0999999424489957,True
jw03707-o004_t003_nircam_clear-f187n_i2d.fits,4540.0,4519.0,3.0999999424489957,True
