file,width,height,offset,chosen
jw02080-o001_t001_nircam_f444w-f466n_i2d.fits,6735.0,3986.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f187n_i2d.fits,13658.0,8172.0,58.85423593078918,True
jw02080-o001_t001_nircam_f405n-f444w_i2d.fits,6737.0,3986.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f300m_i2d.fits,6737.0,3985.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f360m_i2d.fits,6737.0,3986.0,58.85423593078918,True
jw02080-o001_t001_nircam_f150w2-f164n_i2d.fits,13665.0,8166.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f430m_i2d.fits,6736.0,3987.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f210m_i2d.fits,13657.0,8171.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f212n_i2d.fits,13657.0,8171.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f335m_i2d.fits,6733.0,3987.0,58.85423593078918,True
jw02080-o001_t001_nircam_f150w2-f162m_i2d.fits,13665.0,8166.0,58.85423593078918,True
jw02080-o001_t001_nircam_clear-f182m_i2d.fits,13656.0,8171.0,58.85423593078918,True
