file,width,height,offset,chosen
jw01328-o027_t010_nircam_clear-f200w-sub160p_i2d.fits,167.0,168.0,0.3348290273358105,True
jw01328-o027_t010_nircam_clear-f444w-sub160p_i2d.fits,163.0,165.0,0.8841231626383946,True
jw01328-o027_t010_nircam_clear-f335m-sub160p_i2d.fits,163.0,165.0,0.8841231626383946,True
jw01328-o027_t010_nircam_clear-f150w-sub160p_i2d.fits,167.0,168.0,5.45114960792257e-11,True
jw01328-o019_t010_nircam_clear-f335m_i2d.fits,2314.0,2307.0,0.2213004846084669,False
jw01328-o019_t010_nircam_clear-f150w_i2d.fits,4809.0,4791.0,5.45114960792257e-11,False
jw01328-o019_t010_nircam_clear-f200w_i2d.fits,4809.0,4789.0,0.2212999979222524,False
jw01328-o019_t010_nircam_clear-f444w_i2d.fits,2313.0,2306.0,17.75005310573981,False
jw01328-o030_t010_miri_f560w-sub128_i2d.fits,149.0,135.0,10.25002978230615,True
jw01328-o030_t010_miri_f770w-sub128_i2d.fits,149.0,135.0,25.2500776941761,True
jw01328-o030_t010_miri_f1500w-sub128_i2d.fits,149.0,135.0,17.75005310573981,True
