,file,x,y
0,Moris20220926/mor.2022B026.220926.DART1.00001.a.fits,213,332
1,Moris20220926/mor.2022B026.220926.DART1.00002.a.fits,213,332
2,Moris20220926/mor.2022B026.220926.DART1.00003.a.fits,212,331
3,Moris20220926/mor.2022B026.220926.DART1.00004.a.fits,212,331
4,Moris20220926/mor.2022B026.220926.DART1.00005.a.fits,212,330
5,Moris20220926/mor.2022B026.220926.DART1.00006.a.fits,212,331
6,Moris20220926/mor.2022B026.220926.DART1.00007.a.fits,212,332
7,Moris20220926/mor.2022B026.220926.DART1.00008.a.fits,212,332
8,Moris20220926/mor.2022B026.220926.DART1.00009.a.fits,212,330
9,Moris20220926/mor.2022B026.220926.DART1.00010.a.fits,212,330
10,Moris20220926/mor.2022B026.220926.DART1.00011.a.fits,212,331
11,Moris20220926/mor.2022B026.220926.DART1.00012.a.fits,212,332
12,Moris20220926/mor.2022B026.220926.DART1.00013.a.fits,212,331
13,Moris20220926/mor.2022B026.220926.DART1.00014.a.fits,213,331
14,Moris20220926/mor.2022B026.220926.DART1.00015.a.fits,276,330
15,Moris20220926/mor.2022B026.220926.DART1.00016.a.fits,277,330
16,Moris20220926/mor.2022B026.220926.DART1.00017.a.fits,277,331
17,Moris20220926/mor.2022B026.220926.DART1.00018.a.fits,277,331
18,Moris20220926/mor.2022B026.220926.DART1.00019.a.fits,277,330
19,Moris20220926/mor.2022B026.220926.DART1.00020.a.fits,277,331
20,Moris20220926/mor.2022B026.220926.DART1.00021.a.fits,277,331
21,Moris20220926/mor.2022B026.220926.DART1.00022.a.fits,276,330
22,Moris20220926/mor.2022B026.220926.DART1.00023.a.fits,277,331
23,Moris20220926/mor.2022B026.220926.DART1.00024.a.fits,276,331
24,Moris20220926/mor.2022B026.220926.DART1.00025.a.fits,276,331
25,Moris20220926/mor.2022B026.220926.DART1.00026.a.fits,276,331
26,Moris20220926/mor.2022B026.220926.DART1.00027.a.fits,275,331
27,Moris20220926/mor.2022B026.220926.DART1.00028.a.fits,276,331
28,Moris20220926/mor.2022B026.220926.DART1.00029.a.fits,277,333
29,Moris20220926/mor.2022B026.220926.DART1.00030.a.fits,276,330
30,Moris20220926/mor.2022B026.220926.DART1.00031.a.fits,277,330
31,Moris20220926/mor.2022B026.220926.DART1.00032.a.fits,276,332
32,Moris20220926/mor.2022B026.220926.DART1.00033.a.fits,277,330
33,Moris20220926/mor.2022B026.220926.DART1.00034.a.fits,277,331
34,Moris20220926/mor.2022B026.220926.DART1.00035.a.fits,277,332
35,Moris20220926/mor.2022B026.220926.DART1.00036.a.fits,276,330
36,Moris20220926/mor.2022B026.220926.DART1.00037.a.fits,277,332
37,Moris20220926/mor.2022B026.220926.DART1.00038.a.fits,277,332
38,Moris20220926/mor.2022B026.220926.DART1.00039.a.fits,277,330
39,Moris20220926/mor.2022B026.220926.DART1.00040.a.fits,276,329
40,Moris20220926/mor.2022B026.220926.DART1.00041.a.fits,276,330
41,Moris20220926/mor.2022B026.220926.DART1.00042.a.fits,277,332
42,Moris20220926/mor.2022B026.220926.DART1.00043.a.fits,277,332
